sexo;idade;pop
Homens;0;43
Homens;1;42
Homens;2;54
Homens;3;39
Homens;4;47
Homens;5;44
Homens;6;46
Homens;7;56
Homens;8;44
Homens;9;42
Homens;10;42
Homens;11;66
Homens;12;52
Homens;13;66
Homens;14;50
Homens;15;49
Homens;16;51
Homens;17;46
Homens;18;49
Homens;19;57
Homens;20;39
Homens;21;42
Homens;22;62
Homens;23;51
Homens;24;41
Homens;25;60
Homens;26;38
Homens;27;43
Homens;28;43
Homens;29;37
Homens;30;40
Homens;31;31
Homens;32;42
Homens;33;41
Homens;34;42
Homens;35;41
Homens;36;45
Homens;37;44
Homens;38;40
Homens;39;39
Homens;40;46
Homens;41;40
Homens;42;41
Homens;43;30
Homens;44;26
Homens;45;27
Homens;46;30
Homens;47;32
Homens;48;30
Homens;49;28
Homens;50;32
Homens;51;36
Homens;52;32
Homens;53;26
Homens;54;30
Homens;55;36
Homens;56;41
Homens;57;40
Homens;58;33
Homens;59;23
Homens;60;22
Homens;61;22
Homens;62;31
Homens;63;21
Homens;64;19
Homens;65;23
Homens;66;25
Homens;67;20
Homens;68;26
Homens;69;18
Homens;70;17
Homens;71;11
Homens;72;15
Homens;73;11
Homens;74;12
Homens;75;10
Homens;76;10
Homens;77;10
Homens;78;11
Homens;79;9
Homens;80;10
Homens;81;2
Homens;82;7
Homens;83;5
Homens;84;7
Homens;85;2
Homens;86;1
Homens;87;2
Homens;88;4
Homens;89;1
Homens;90;2
Homens;91;3
Homens;92;
Homens;93;
Homens;94;
Homens;95;1
Homens;96;
Homens;97;2
Homens;98;
Homens;99;1
Mulheres;0;40
Mulheres;1;27
Mulheres;2;42
Mulheres;3;47
Mulheres;4;48
Mulheres;5;52
Mulheres;6;42
Mulheres;7;45
Mulheres;8;36
Mulheres;9;44
Mulheres;10;39
Mulheres;11;34
Mulheres;12;40
Mulheres;13;41
Mulheres;14;40
Mulheres;15;57
Mulheres;16;62
Mulheres;17;47
Mulheres;18;49
Mulheres;19;32
Mulheres;20;49
Mulheres;21;32
Mulheres;22;49
Mulheres;23;53
Mulheres;24;43
Mulheres;25;43
Mulheres;26;32
Mulheres;27;40
Mulheres;28;37
Mulheres;29;37
Mulheres;30;47
Mulheres;31;36
Mulheres;32;29
Mulheres;33;27
Mulheres;34;35
Mulheres;35;43
Mulheres;36;25
Mulheres;37;39
Mulheres;38;41
Mulheres;39;41
Mulheres;40;31
Mulheres;41;29
Mulheres;42;30
Mulheres;43;41
Mulheres;44;29
Mulheres;45;37
Mulheres;46;22
Mulheres;47;38
Mulheres;48;25
Mulheres;49;31
Mulheres;50;28
Mulheres;51;28
Mulheres;52;34
Mulheres;53;39
Mulheres;54;25
Mulheres;55;24
Mulheres;56;31
Mulheres;57;21
Mulheres;58;24
Mulheres;59;29
Mulheres;60;28
Mulheres;61;27
Mulheres;62;29
Mulheres;63;36
Mulheres;64;25
Mulheres;65;18
Mulheres;66;10
Mulheres;67;18
Mulheres;68;18
Mulheres;69;18
Mulheres;70;12
Mulheres;71;9
Mulheres;72;19
Mulheres;73;14
Mulheres;74;8
Mulheres;75;14
Mulheres;76;15
Mulheres;77;5
Mulheres;78;9
Mulheres;79;13
Mulheres;80;8
Mulheres;81;4
Mulheres;82;8
Mulheres;83;13
Mulheres;84;5
Mulheres;85;8
Mulheres;86;3
Mulheres;87;10
Mulheres;88;2
Mulheres;89;7
Mulheres;90;2
Mulheres;91;4
Mulheres;92;5
Mulheres;93;1
Mulheres;94;1
Mulheres;95;1
Mulheres;96;
Mulheres;97;2
Mulheres;98;
Mulheres;99;2
