sexo;idade;pop
Homens;0;1197268
Homens;1;1196973
Homens;2;1302109
Homens;3;1373855
Homens;4;1391484
Homens;5;1345642
Homens;6;1411629
Homens;7;1442901
Homens;8;1403376
Homens;9;1407734
Homens;10;1382640
Homens;11;1391081
Homens;12;1418413
Homens;13;1398066
Homens;14;1402546
Homens;15;1433119
Homens;16;1469626
Homens;17;1483403
Homens;18;1494343
Homens;19;1437024
Homens;20;1477372
Homens;21;1516652
Homens;22;1673831
Homens;23;1561963
Homens;24;1537488
Homens;25;1576868
Homens;26;1547631
Homens;27;1554544
Homens;28;1514125
Homens;29;1434290
Homens;30;1582254
Homens;31;1401184
Homens;32;1525015
Homens;33;1522810
Homens;34;1506022
Homens;35;1598517
Homens;36;1578763
Homens;37;1517817
Homens;38;1553824
Homens;39;1578412
Homens;40;1783901
Homens;41;1512365
Homens;42;1639694
Homens;43;1467656
Homens;44;1377443
Homens;45;1434182
Homens;46;1321716
Homens;47;1298151
Homens;48;1266763
Homens;49;1228297
Homens;50;1336073
Homens;51;1166089
Homens;52;1236099
Homens;53;1158087
Homens;54;1118043
Homens;55;1119366
Homens;56;1112955
Homens;57;1077189
Homens;58;1091899
Homens;59;1018096
Homens;60;1050304
Homens;61;908424
Homens;62;948512
Homens;63;861558
Homens;64;837036
Homens;65;838117
Homens;66;747060
Homens;67;710584
Homens;68;683947
Homens;69;608344
Homens;70;631963
Homens;71;533807
Homens;72;542671
Homens;73;464640
Homens;74;442269
Homens;75;407200
Homens;76;358805
Homens;77;321565
Homens;78;305608
Homens;79;264608
Homens;80;256370
Homens;81;206113
Homens;82;217417
Homens;83;176092
Homens;84;153860
Homens;85;130966
Homens;86;121816
Homens;87;97877
Homens;88;77957
Homens;89;65033
Homens;90;59849
Homens;91;44487
Homens;92;39596
Homens;93;28401
Homens;94;22008
Homens;95;16549
Homens;96;12970
Homens;97;9199
Homens;98;6781
Homens;99;4820
Homens;100;10570
Mulheres;0;1160997
Mulheres;1;1156972
Mulheres;2;1261310
Mulheres;3;1325929
Mulheres;4;1337963
Mulheres;5;1295144
Mulheres;6;1359883
Mulheres;7;1388810
Mulheres;8;1337524
Mulheres;9;1356797
Mulheres;10;1318999
Mulheres;11;1326784
Mulheres;12;1355208
Mulheres;13;1347634
Mulheres;14;1333590
Mulheres;15;1386391
Mulheres;16;1405322
Mulheres;17;1427436
Mulheres;18;1435834
Mulheres;19;1403444
Mulheres;20;1456036
Mulheres;21;1495602
Mulheres;22;1643332
Mulheres;23;1557745
Mulheres;24;1546442
Mulheres;25;1601360
Mulheres;26;1589726
Mulheres;27;1596894
Mulheres;28;1558577
Mulheres;29;1495708
Mulheres;30;1634188
Mulheres;31;1477210
Mulheres;32;1607741
Mulheres;33;1612251
Mulheres;34;1604442
Mulheres;35;1695468
Mulheres;36;1689379
Mulheres;37;1621177
Mulheres;38;1648262
Mulheres;39;1691172
Mulheres;40;1868272
Mulheres;41;1617885
Mulheres;42;1732785
Mulheres;43;1576305
Mulheres;44;1495864
Mulheres;45;1530203
Mulheres;46;1437283
Mulheres;47;1407882
Mulheres;48;1368346
Mulheres;49;1347289
Mulheres;50;1427486
Mulheres;51;1279553
Mulheres;52;1346602
Mulheres;53;1278587
Mulheres;54;1251962
Mulheres;55;1273193
Mulheres;56;1254125
Mulheres;57;1221982
Mulheres;58;1237243
Mulheres;59;1163058
Mulheres;60;1189187
Mulheres;61;1053262
Mulheres;62;1102161
Mulheres;63;1007946
Mulheres;64;985999
Mulheres;65;986644
Mulheres;66;893891
Mulheres;67;849380
Mulheres;68;820472
Mulheres;69;737793
Mulheres;70;772890
Mulheres;71;651652
Mulheres;72;673052
Mulheres;73;583268
Mulheres;74;562324
Mulheres;75;524795
Mulheres;76;468164
Mulheres;77;425673
Mulheres;78;412227
Mulheres;79;358734
Mulheres;80;356015
Mulheres;81;289470
Mulheres;82;317730
Mulheres;83;262999
Mulheres;84;238964
Mulheres;85;208859
Mulheres;86;203735
Mulheres;87;168192
Mulheres;88;135772
Mulheres;89;118996
Mulheres;90;112361
Mulheres;91;86387
Mulheres;92;80089
Mulheres;93;59384
Mulheres;94;47167
Mulheres;95;37019
Mulheres;96;29085
Mulheres;97;21270
Mulheres;98;15877
Mulheres;99;11608
Mulheres;100;27244
