"ano","sexo","idade","obitos"
2021,"Homens",0,17622
2021,"Homens",1,1174
2021,"Homens",2,686
2021,"Homens",3,529
2021,"Homens",4,375
2021,"Homens",5,356
2021,"Homens",6,311
2021,"Homens",7,283
2021,"Homens",8,285
2021,"Homens",9,291
2021,"Homens",10,284
2021,"Homens",11,310
2021,"Homens",12,376
2021,"Homens",13,495
2021,"Homens",14,748
2021,"Homens",15,1114
2021,"Homens",16,1705
2021,"Homens",17,2445
2021,"Homens",18,3142
2021,"Homens",19,3634
2021,"Homens",20,4055
2021,"Homens",21,4271
2021,"Homens",22,4365
2021,"Homens",23,4392
2021,"Homens",24,4285
2021,"Homens",25,4502
2021,"Homens",26,4518
2021,"Homens",27,4380
2021,"Homens",28,4450
2021,"Homens",29,4442
2021,"Homens",30,4465
2021,"Homens",31,4689
2021,"Homens",32,5076
2021,"Homens",33,5350
2021,"Homens",34,5506
2021,"Homens",35,5955
2021,"Homens",36,6074
2021,"Homens",37,6410
2021,"Homens",38,7091
2021,"Homens",39,7324
2021,"Homens",40,7668
2021,"Homens",41,7976
2021,"Homens",42,8262
2021,"Homens",43,8540
2021,"Homens",44,8840
2021,"Homens",45,9431
2021,"Homens",46,9559
2021,"Homens",47,9684
2021,"Homens",48,10546
2021,"Homens",49,11144
2021,"Homens",50,11442
2021,"Homens",51,12456
2021,"Homens",52,13039
2021,"Homens",53,13372
2021,"Homens",54,14181
2021,"Homens",55,15085
2021,"Homens",56,16026
2021,"Homens",57,17143
2021,"Homens",58,17592
2021,"Homens",59,17709
2021,"Homens",60,17830
2021,"Homens",61,18305
2021,"Homens",62,19417
2021,"Homens",63,20530
2021,"Homens",64,20617
2021,"Homens",65,20885
2021,"Homens",66,21582
2021,"Homens",67,21801
2021,"Homens",68,21733
2021,"Homens",69,21942
2021,"Homens",70,22103
2021,"Homens",71,22459
2021,"Homens",72,22011
2021,"Homens",73,22149
2021,"Homens",74,22000
2021,"Homens",75,20818
2021,"Homens",76,20516
2021,"Homens",77,20891
2021,"Homens",78,20693
2021,"Homens",79,19270
2021,"Homens",80,18889
2021,"Homens",81,19772
2021,"Homens",82,18611
2021,"Homens",83,17314
2021,"Homens",84,16913
2021,"Homens",85,16823
2021,"Homens",86,14857
2021,"Homens",87,13237
2021,"Homens",88,12660
2021,"Homens",89,11709
2021,"Homens",90,10477
2021,"Homens",91,9469
2021,"Homens",92,7720
2021,"Homens",93,6572
2021,"Homens",94,5431
2021,"Homens",95,4465
2021,"Homens",96,3543
2021,"Homens",97,2768
2021,"Homens",98,2025
2021,"Homens",99,1468
2021,"Homens",100,1076
2021,"Homens",101,820
2021,"Homens",102,571
2021,"Homens",103,417
2021,"Homens",104,272
2021,"Homens",105,173
2021,"Homens",106,147
2021,"Homens",107,82
2021,"Homens",108,61
2021,"Homens",109,50
2021,"Homens",110,37
2021,"Homens",111,28
2021,"Homens",112,12
2021,"Homens",113,9
2021,"Homens",114,3
2021,"Homens",115,8
2021,"Homens",116,1
2021,"Homens",117,1
2021,"Homens",119,1
2021,"Homens",120,2
2021,"Homens",121,1
2021,"Mulheres",0,14043
2021,"Mulheres",1,1007
2021,"Mulheres",2,537
2021,"Mulheres",3,406
2021,"Mulheres",4,307
2021,"Mulheres",5,291
2021,"Mulheres",6,277
2021,"Mulheres",7,218
2021,"Mulheres",8,219
2021,"Mulheres",9,235
2021,"Mulheres",10,229
2021,"Mulheres",11,250
2021,"Mulheres",12,309
2021,"Mulheres",13,338
2021,"Mulheres",14,459
2021,"Mulheres",15,526
2021,"Mulheres",16,607
2021,"Mulheres",17,733
2021,"Mulheres",18,793
2021,"Mulheres",19,884
2021,"Mulheres",20,997
2021,"Mulheres",21,1064
2021,"Mulheres",22,1093
2021,"Mulheres",23,1145
2021,"Mulheres",24,1230
2021,"Mulheres",25,1416
2021,"Mulheres",26,1480
2021,"Mulheres",27,1483
2021,"Mulheres",28,1559
2021,"Mulheres",29,1698
2021,"Mulheres",30,1792
2021,"Mulheres",31,2000
2021,"Mulheres",32,2230
2021,"Mulheres",33,2340
2021,"Mulheres",34,2412
2021,"Mulheres",35,2791
2021,"Mulheres",36,2856
2021,"Mulheres",37,3195
2021,"Mulheres",38,3612
2021,"Mulheres",39,4011
2021,"Mulheres",40,3952
2021,"Mulheres",41,4376
2021,"Mulheres",42,4640
2021,"Mulheres",43,4737
2021,"Mulheres",44,5094
2021,"Mulheres",45,5291
2021,"Mulheres",46,5589
2021,"Mulheres",47,5849
2021,"Mulheres",48,6333
2021,"Mulheres",49,6458
2021,"Mulheres",50,6695
2021,"Mulheres",51,7280
2021,"Mulheres",52,7725
2021,"Mulheres",53,8257
2021,"Mulheres",54,8840
2021,"Mulheres",55,9593
2021,"Mulheres",56,10110
2021,"Mulheres",57,11149
2021,"Mulheres",58,11176
2021,"Mulheres",59,11796
2021,"Mulheres",60,12041
2021,"Mulheres",61,12570
2021,"Mulheres",62,13351
2021,"Mulheres",63,14181
2021,"Mulheres",64,14218
2021,"Mulheres",65,14929
2021,"Mulheres",66,15548
2021,"Mulheres",67,16020
2021,"Mulheres",68,16224
2021,"Mulheres",69,16380
2021,"Mulheres",70,16588
2021,"Mulheres",71,17346
2021,"Mulheres",72,17317
2021,"Mulheres",73,17987
2021,"Mulheres",74,17818
2021,"Mulheres",75,17354
2021,"Mulheres",76,17538
2021,"Mulheres",77,18436
2021,"Mulheres",78,18673
2021,"Mulheres",79,18064
2021,"Mulheres",80,18074
2021,"Mulheres",81,19833
2021,"Mulheres",82,19539
2021,"Mulheres",83,19146
2021,"Mulheres",84,19289
2021,"Mulheres",85,20092
2021,"Mulheres",86,18734
2021,"Mulheres",87,16766
2021,"Mulheres",88,16872
2021,"Mulheres",89,16470
2021,"Mulheres",90,15688
2021,"Mulheres",91,14982
2021,"Mulheres",92,12800
2021,"Mulheres",93,11303
2021,"Mulheres",94,9860
2021,"Mulheres",95,8176
2021,"Mulheres",96,6867
2021,"Mulheres",97,5200
2021,"Mulheres",98,4183
2021,"Mulheres",99,2933
2021,"Mulheres",100,2351
2021,"Mulheres",101,1844
2021,"Mulheres",102,1301
2021,"Mulheres",103,1028
2021,"Mulheres",104,735
2021,"Mulheres",105,539
2021,"Mulheres",106,367
2021,"Mulheres",107,230
2021,"Mulheres",108,190
2021,"Mulheres",109,108
2021,"Mulheres",110,91
2021,"Mulheres",111,67
2021,"Mulheres",112,33
2021,"Mulheres",113,20
2021,"Mulheres",114,43
2021,"Mulheres",115,32
2021,"Mulheres",116,16
2021,"Mulheres",117,5
2021,"Mulheres",118,2
2021,"Mulheres",119,2
2021,"Mulheres",121,2
2021,"Mulheres",122,1
2021,"Mulheres",124,1
2022,"Homens",0,17732
2022,"Homens",1,1385
2022,"Homens",2,854
2022,"Homens",3,647
2022,"Homens",4,518
2022,"Homens",5,421
2022,"Homens",6,386
2022,"Homens",7,364
2022,"Homens",8,322
2022,"Homens",9,306
2022,"Homens",10,307
2022,"Homens",11,359
2022,"Homens",12,430
2022,"Homens",13,499
2022,"Homens",14,716
2022,"Homens",15,1116
2022,"Homens",16,1654
2022,"Homens",17,2228
2022,"Homens",18,2801
2022,"Homens",19,3365
2022,"Homens",20,3687
2022,"Homens",21,4027
2022,"Homens",22,4220
2022,"Homens",23,4141
2022,"Homens",24,4166
2022,"Homens",25,4005
2022,"Homens",26,4084
2022,"Homens",27,4234
2022,"Homens",28,4051
2022,"Homens",29,4080
2022,"Homens",30,4008
2022,"Homens",31,3892
2022,"Homens",32,3964
2022,"Homens",33,4466
2022,"Homens",34,4530
2022,"Homens",35,4464
2022,"Homens",36,4766
2022,"Homens",37,4754
2022,"Homens",38,4789
2022,"Homens",39,5351
2022,"Homens",40,5813
2022,"Homens",41,5775
2022,"Homens",42,5955
2022,"Homens",43,6081
2022,"Homens",44,6444
2022,"Homens",45,6448
2022,"Homens",46,6723
2022,"Homens",47,6971
2022,"Homens",48,7413
2022,"Homens",49,7570
2022,"Homens",50,7938
2022,"Homens",51,8441
2022,"Homens",52,8825
2022,"Homens",53,9602
2022,"Homens",54,10125
2022,"Homens",55,10566
2022,"Homens",56,11453
2022,"Homens",57,12131
2022,"Homens",58,12931
2022,"Homens",59,13351
2022,"Homens",60,13465
2022,"Homens",61,14214
